season,date_aired,run_time,format,monster_name,monster_gender,monster_type,monster_subtype,monster_species,monster_real,monster_amount,caught_fred,caught_daphnie,caught_velma,caught_shaggy,caught_scooby,captured_fred,captured_daphnie,captured_velma,captured_shaggy,captured_scooby,unmask_fred,unmask_daphnie,unmask_velma,unmask_shaggy,unmask_scooby,snack_fred,snack_daphnie,snack_velma,snack_shaggy,snack_scooby,unmask_other,caught_other,caught_not,jeepers,jinkies,my_glasses,just_about_wrapped_up,zoinks,groovy,scooby_doo_where_are_you,rooby_rooby_roo,year,caught_by,species
1,1972-10-07,43,TV Series,"Ghost of Captain Moody,Ghost of Captain Moody","Male,Male","Ghost,Ghost","Phantom,Phantom",Human,False,2,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1972.0,Scooby,Humanoid
1,,41,TV Series,"The Gargoyle,Phantoms,Phantoms","Male,Male,Male","Possessed Object,Ghost,Ghost","Statue,Phantom,Phantom",Human,False,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,,Other,Humanoid
1,,41,TV Series,"The Gargoyle,Phantoms,Phantoms","Male,Male,Male","Possessed Object,Ghost,Ghost","Statue,Phantom,Phantom",Gargoyle,False,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,,Other,Fantastical
1,,41,TV Series,"Ghost,Sheik,Mummy,Pirate,Dragon,Wolfman,Grizzly Bear,Indian,Mr. Hyde","Male,Male,Male,Male,Male,Male,Male,Male,Male","Ghost,Disguised,Undead,Disguised,Animal,Animal,Animal,Ancient,Disguised","Phantom,Sheik,Mummy,Pirate,Dragon,Humanoid,Bear,Indian,Split-Personality",Dragon,False,9,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,Shaggy,Fantastical
1,,41,TV Series,"Ghost,Sheik,Mummy,Pirate,Dragon,Wolfman,Grizzly Bear,Indian,Mr. Hyde","Male,Male,Male,Male,Male,Male,Male,Male,Male","Ghost,Disguised,Undead,Disguised,Animal,Animal,Animal,Ancient,Disguised","Phantom,Sheik,Mummy,Pirate,Dragon,Humanoid,Bear,Indian,Split-Personality",Human,False,9,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,Shaggy,Humanoid
1,,41,TV Series,"Ghost,Sheik,Mummy,Pirate,Dragon,Wolfman,Grizzly Bear,Indian,Mr. Hyde","Male,Male,Male,Male,Male,Male,Male,Male,Male","Ghost,Disguised,Undead,Disguised,Animal,Animal,Animal,Ancient,Disguised","Phantom,Sheik,Mummy,Pirate,Dragon,Humanoid,Bear,Indian,Split-Personality",Bear,False,9,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,Shaggy,Animal
1,1972-10-28,41,TV Series,"Shark Men,Shark Men","Male,Male","Animal,Animal","Sea-Monster,Sea-Monster",Shark,False,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1972.0,Fred,Animal
1,,43,TV Series,"Skeleton Man,Lady Ghost,3-Eyed Spook,Giant,Brontosaurus,Headless Horsemen of Sleepy Hollow,Skeleton Stage Driver","Male,Female,Male,Male,Male,Male,Male","Undead,Ghost,Ghost,Ghost,Ancient,Ghost,Ghost","Skeleton,Phantom,Phantom,Phantom,Brontosaurus,Headless,Phantom",Dinosaur,False,7,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Scooby,Animal
1,,43,TV Series,"Skeleton Man,Lady Ghost,3-Eyed Spook,Giant,Brontosaurus,Headless Horsemen of Sleepy Hollow,Skeleton Stage Driver","Male,Female,Male,Male,Male,Male,Male","Undead,Ghost,Ghost,Ghost,Ancient,Ghost,Ghost","Skeleton,Phantom,Phantom,Phantom,Brontosaurus,Headless,Phantom",Human,False,7,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Scooby,Humanoid
1,1972-11-11,43,TV Series,The Ghost of Bigfoot,Male,Ghost,Half-Human,Big Foot,False,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1972.0,Scooby,Mythical
1,1972-11-18,43,TV Series,Ghost of the Red Baron,Male,Ghost,Pilot,Human,False,1,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1972.0,Fred,Humanoid
1,1972-11-25,43,TV Series,"Ghost of Redbeard,Ghost of Redbeard's crew,Ghost of Redbeard's crew,Ghost of Redbeard's crew","Male,Male,Male,Male","Ghost,Ghost,Ghost,Ghost","Pirate,Pirate,Pirate,Pirate",Human,False,4,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1972.0,Scooby,Humanoid
1,,41,TV Series,"Haunted Horseman,Moat Monster","Male,Male","Ghost,Animal","Horseman,Amphibian",Human,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,Unknown,Humanoid
1,,41,TV Series,"Haunted Horseman,Moat Monster","Male,Male","Ghost,Animal","Horseman,Amphibian",Frog,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,Unknown,Animal
1,1972-12-09,41,TV Series,"Possessed Viking Mannequin,Possessed Davy Crockett Mannequin","Male,Male","Possessed Object,Possessed Object","Viking,Soldier",Human,False,2,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1972.0,Fred,Humanoid
1,,43,TV Series,"Dryad,Troll","Male,Male","Mythical,Mythical","Tree,Humanoid",Dryad,False,2,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,,Shaggy,Plant
1,,43,TV Series,"Dryad,Troll","Male,Male","Mythical,Mythical","Tree,Humanoid",Troll,False,2,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,,Shaggy,Humanoid
1,,43,TV Series,"Sea Serpent,Ghost of Paul Revere,Minuteman Ghost,Redcoat Ghost","Male,Male,Male,Male","Mythical,Ghost,Ghost,Ghost","Sea-Monster,Phantom,Phantom,Phantom",Human,False,4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Unknown,Humanoid
1,,43,TV Series,"Sea Serpent,Ghost of Paul Revere,Minuteman Ghost,Redcoat Ghost","Male,Male,Male,Male","Mythical,Ghost,Ghost,Ghost","Sea-Monster,Phantom,Phantom,Phantom",Serpent,False,4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Unknown,Mythical
2,1973-09-08,44,TV Series,"Hooded Ghosts,Hooded Ghosts,Hooded Ghosts","Male,Male,Male","Ghost,Ghost,Ghost","Phantom,Phantom,Phantom",Human,False,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1973.0,Other,Humanoid
2,1973-09-15,43,TV Series,"Ghost of Injun Joe,Ghost of Captain Scavenger","Male,Male","Ghost,Ghost","Phantom,Phantom",Human,False,2,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1973.0,Scooby,Humanoid
2,1973-09-22,43,TV Series,Jadal,Male,Mythical,Phantom,Genie,True,1,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1973.0,Unknown,Mythical
2,1973-09-29,43,TV Series,Spirit of Fireball McPhan,Male,Ghost,Phantom,Human,False,1,True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1973.0,Other,Humanoid
2,,44,TV Series,"Cat Creature,Frankenstein,Creepy Man,Ghost Bird,Unknown Exterminator,Ghostly Man,Invisible Couple,Sea Monster","Male,Male,Male,Male,Male,Male,Male,Male","Animal,Undead,Disguised,Animal,Disguise,Ghost,Ghost,Animal","Humanoid,Frankenstein's Monster,Creepy,Headless,Exterminator,Phantom,Phantom,Sea-Monster",Human,False,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,Unknown,Humanoid
2,,44,TV Series,"Cat Creature,Frankenstein,Creepy Man,Ghost Bird,Unknown Exterminator,Ghostly Man,Invisible Couple,Sea Monster","Male,Male,Male,Male,Male,Male,Male,Male","Animal,Undead,Disguised,Animal,Disguise,Ghost,Ghost,Animal","Humanoid,Frankenstein's Monster,Creepy,Headless,Exterminator,Phantom,Phantom,Sea-Monster",Fish,False,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,Unknown,Animal
2,,44,TV Series,"Cat Creature,Frankenstein,Creepy Man,Ghost Bird,Unknown Exterminator,Ghostly Man,Invisible Couple,Sea Monster","Male,Male,Male,Male,Male,Male,Male,Male","Animal,Undead,Disguised,Animal,Disguise,Ghost,Ghost,Animal","Humanoid,Frankenstein's Monster,Creepy,Headless,Exterminator,Phantom,Phantom,Sea-Monster",Bird,False,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,Unknown,Animal
2,1973-10-13,44,TV Series,"Windmakers,Windmakers,Windmakers,Windmakers","Male,Male,Male,Male","Disguised,Disguised,Disguised,Disguised","Hooded,Hooded,Hooded,Hooded",Human,False,4,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1973.0,Other,Humanoid
2,1973-10-20,43,TV Series,"Green Globs,Green Globs","Male,Male","Possessed Object,Possessed Object","Humanoid,Humanoid",Human,False,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1973.0,Other,Humanoid
2,1973-10-27,43,TV Series,Ghostly Strongman,Male,Ghost,Phantom,Human,False,1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1973.0,Scooby,Humanoid
1,,24,TV Series,"Specter of Ebenezer Crabbe,Ghost of Netty Crabbe","Male,Female","Ghost,Ghost","Phantom,Phantom",Human,False,2,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,,Scooby,Humanoid
Crossover,,22,Crossover,"Mr. Hyde,Snitch","Male,Male","Disguised,Animal","Split-Personality,Split-Personality",Hound,True,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,Other,Animal
Crossover,,22,Crossover,"Mr. Hyde,Snitch","Male,Male","Disguised,Animal","Split-Personality,Split-Personality",Human,True,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,Other,Humanoid
1,,24,TV Series,"Ghost of King Katazuma,Aztec Statue Monster","Male,Male","Ghost,Possessed Object","Phantom,Statue",Human,False,2,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,,Shaggy,Humanoid
Crossover,,22,Crossover,"Lowbrow,Lowbrow's Henchmen,Lowbrow's Henchmen","Male,Male,Male","Super-Villain,Super-Villain,Super-Villain","Idiot,Henchman,Henchman",Human,True,3,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,Other,Humanoid
1,1976-09-25,24,TV Series,Ghost of Gator Ghoul,Male,Ghost,Amphibian,Alligator,False,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1976.0,Fred,Animal
1,1976-10-02,24,TV Series,10000 Volt Ghost,Male,Ghost,Electric,Human,False,1,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,1976.0,Scooby,Humanoid
1,1976-10-09,24,TV Series,Headless Horseman,Male,Ghost,Headless,Human,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1976.0,Other,Humanoid
1,1976-10-16,24,TV Series,"Ghost of Merlin,Black Knight","Male,Male","Ghost,Possessed Object",Witch,Human,False,2,False,False,False,True,True,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1976.0,Scooby,Humanoid
1,1976-10-23,24,TV Series,Ghost of Dr. Coffin,Male,Ghost,Phantom,Human,False,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,4.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,1976.0,Unknown,Humanoid
1,,24,TV Series,"No-Face Zombie,Gorilla","Male,Male","Undead,Animal","Zombie,Beast",Human,False,2,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,,Scooby,Humanoid
1,,24,TV Series,"No-Face Zombie,Gorilla","Male,Male","Undead,Animal","Zombie,Beast",Gorilla,False,2,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,,Scooby,Animal
1,1976-11-06,24,TV Series,"Mamba Wamba,Zombie Lila,Mamba Zombie,","Male,Female,Male","Ghost,Undead,Undead","Witch Doctor,Zombie,Zombie",Human,False,3,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,1976.0,Fred,Humanoid
1,,24,TV Series,Demon,Male,Mythical,Demon,Demon,False,3,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,5.0,1.0,0.0,1.0,12.0,0.0,0.0,1.0,,Scooby,Mythical
Crossover,,22,Crossover,Swamp Rat,Male,Animal,Humanoid,Rat,False,1,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,,Other,Animal
1,,24,TV Series,"Tamuka the Ghost Bull,Medicine Man Ghost,Talking Bull","Male,Male,Male","Ghost,Ghost,Animal","Beast,Witch Doctor,Beast",Human,False,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0.0,3.0,1.0,1.0,4.0,0.0,1.0,1.0,,Other,Humanoid
1,,24,TV Series,"Tamuka the Ghost Bull,Medicine Man Ghost,Talking Bull","Male,Male,Male","Ghost,Ghost,Animal","Beast,Witch Doctor,Beast",Bull,False,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0.0,3.0,1.0,1.0,4.0,0.0,1.0,1.0,,Other,Animal
1,1976-11-25,24,TV Series,Demon Shark,Male,Mythical,Demon,Shark,False,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,7.0,0.0,0.0,2.0,1976.0,Fred,Animal
